"filename", "language", "JavaScript", "PHP", "PostCSS", "Markdown", "JSON", "XML", "comment", "blank", "total"
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_11_17_065903_create_orders_table.php", "PHP", 0, 26, 0, 0, 0, 0, 6, 4, 36
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_11_20_191608_delete_product_id_column_in_orders_table.php", "PHP", 0, 20, 0, 0, 0, 0, 7, 4, 31
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_11_20_191800_create_order_products_table.php", "PHP", 0, 21, 0, 0, 0, 0, 6, 4, 31
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_11_20_193041_drop_quantity_column_in_orders_table.php", "PHP", 0, 19, 0, 0, 0, 0, 6, 4, 29
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\seeders\CartSeeder.php", "PHP", 0, 10, 0, 0, 0, 0, 4, 4, 18
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\seeders\CategorySeeder.php", "PHP", 0, 25, 0, 0, 0, 0, 3, 5, 33
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\seeders\ChatSeeder.php", "PHP", 0, 101, 0, 0, 0, 0, 3, 24, 128
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\seeders\ConsultationSeeder.php", "PHP", 0, 19, 0, 0, 0, 0, 3, 5, 27
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\seeders\DatabaseSeeder.php", "PHP", 0, 19, 0, 0, 0, 0, 9, 6, 34
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\seeders\OrderProductSeeder.php", "PHP", 0, 10, 0, 0, 0, 0, 4, 4, 18
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\seeders\OrderSeeder.php", "PHP", 0, 10, 0, 0, 0, 0, 4, 4, 18
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\seeders\PaymentSeeder.php", "PHP", 0, 10, 0, 0, 0, 0, 4, 4, 18
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\seeders\ProductReviewSeeder.php", "PHP", 0, 31, 0, 0, 0, 0, 3, 5, 39
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\seeders\ProductSeeder.php", "PHP", 0, 12, 0, 0, 0, 0, 4, 4, 20
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\seeders\RatingSeeder.php", "PHP", 0, 10, 0, 0, 0, 0, 4, 4, 18
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\seeders\RoleSeeder.php", "PHP", 0, 25, 0, 0, 0, 0, 3, 5, 33
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\seeders\TypeSeeder.php", "PHP", 0, 25, 0, 0, 0, 0, 3, 5, 33
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\seeders\UserSeeder.php", "PHP", 0, 39, 0, 0, 0, 0, 3, 7, 49
